"campaignID";"profilID";"siteID";"insurer";"coverage";"prix";"fees";"date_extraction";"date_aspiration";"flag_parsing";"wrong_price";"id";"status";"year";"month";"week";"type"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_100";"ASSURLAND_LOAN";"AFI-ESCA";"Formule Optimum";"2489";"20";"2017-11-22";"2017-11-22";"";"";"26432";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_100";"ASSURLAND_LOAN";"Groupe AXA";"Minimum";"1265";"60";"2017-11-22";"2017-11-22";"";"";"26421";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_100";"ASSURLAND_LOAN";"AsCourtage";"Formule Optimum";"1929";"350";"2017-11-22";"2017-11-22";"";"";"26428";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_100";"ASSURLAND_LOAN";"Groupe AVIVA";"Minimum";"1799";"20";"2017-11-22";"2017-11-22";"";"";"26427";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_100";"ASSURLAND_LOAN";"Groupe AVIVA";"Minimum";"1799";"20";"2017-11-21";"2017-11-21";"";"";"24844";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_100";"ASSURLAND_LOAN";"AsCourtage";"Minimum";"746";"350";"2017-11-21";"2017-11-21";"";"";"24837";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_100";"ASSURLAND_LOAN";"Cardif";"Minimum";"1395";"10";"2017-11-21";"2017-11-21";"";"";"24841";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_100";"ASSURLAND_LOAN";"HODEVA";"Minimum";"1383";"100";"2017-11-21";"2017-11-21";"";"";"24840";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_100";"ASSURLAND_LOAN";"AXA";"Minimum";"1360";"Gratuits
";"2017-11-21";"2017-11-21";"";"";"24839";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_100";"ASSURLAND_LOAN";"Groupe AXA";"Minimum";"1265";"60";"2017-11-21";"2017-11-21";"";"";"24838";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_100";"ASSURLAND_LOAN";"AFI-ESCA";"Minimum";"1490";"20";"2017-11-21";"2017-11-21";"";"";"24842";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_100";"ASSURLAND_LOAN";"SIMPL'ASSUR";"Minimum";"1622";"10";"2017-11-21";"2017-11-21";"";"";"24843";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_100";"ASSURLAND_LOAN";"AFI-ESCA";"Minimum";"1490";"20";"2017-11-22";"2017-11-22";"";"";"26425";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_101";"ASSURLAND_LOAN";"AsCourtage";"Minimum";"4312";"350";"2017-11-21";"2017-11-21";"";"";"24555";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_101";"ASSURLAND_LOAN";"SIMPL'ASSUR";"Minimum";"6354";"10";"2017-11-21";"2017-11-21";"";"";"24557";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_101";"ASSURLAND_LOAN";"HODEVA";"Minimum";"5317";"100";"2017-11-21";"2017-11-21";"";"";"24556";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_101";"ASSURLAND_LOAN";"AFI-ESCA";"Formule Optimum";"11111";"20";"2017-11-21";"2017-11-21";"";"";"24566";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_101";"ASSURLAND_LOAN";"SIMPL'ASSUR";"Formule Optimum";"8539";"10";"2017-11-21";"2017-11-21";"";"";"24562";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_101";"ASSURLAND_LOAN";"AXA";"Formule Optimum";"8715";"Gratuits
";"2017-11-21";"2017-11-21";"";"";"24563";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_101";"ASSURLAND_LOAN";"AXA";"Minimum";"6688";"Gratuits
";"2017-11-21";"2017-11-21";"";"";"24559";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_101";"ASSURLAND_LOAN";"Groupe AXA";"Formule Optimum";"8870";"60";"2017-11-21";"2017-11-21";"";"";"24564";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_101";"ASSURLAND_LOAN";"Cardif";"Minimum";"6415";"10";"2017-11-21";"2017-11-21";"";"";"24558";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_101";"ASSURLAND_LOAN";"Groupe AXA";"Minimum";"7237";"60";"2017-11-21";"2017-11-21";"";"";"24560";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_101";"ASSURLAND_LOAN";"AsCourtage";"Formule Optimum";"11379";"350";"2017-11-21";"2017-11-21";"";"";"24567";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_101";"ASSURLAND_LOAN";"AFI-ESCA";"Minimum";"7578";"20";"2017-11-21";"2017-11-21";"";"";"24561";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_101";"ASSURLAND_LOAN";"Cardif";"Formule Optimum";"10453";"10";"2017-11-21";"2017-11-21";"";"";"24565";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_102";"ASSURLAND_LOAN";"AFI-ESCA";"Minimum";"4128";"20";"2017-11-19";"2017-11-19";"";"";"22414";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_102";"ASSURLAND_LOAN";"HODEVA";"Minimum";"4174";"100";"2017-11-19";"2017-11-19";"";"";"22415";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_102";"ASSURLAND_LOAN";"Groupe AXA";"Minimum";"4413";"60";"2017-11-19";"2017-11-19";"";"";"22416";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_102";"ASSURLAND_LOAN";"MAAF Assurances";"Minimum";"4556";"Gratuits";"2017-11-19";"2017-11-19";"";"";"22417";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_102";"ASSURLAND_LOAN";"AXA";"Minimum";"4825";"Gratuits
";"2017-11-19";"2017-11-19";"";"";"22418";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_102";"ASSURLAND_LOAN";"Groupe AVIVA";"Minimum";"5091";"20";"2017-11-19";"2017-11-19";"";"";"22419";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_102";"ASSURLAND_LOAN";"SIMPL'ASSUR";"Minimum";"5415";"10";"2017-11-19";"2017-11-19";"";"";"22420";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_102";"ASSURLAND_LOAN";"Zen'up";"Minimum";"6021";"20";"2017-11-19";"2017-11-19";"";"";"22421";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_102";"ASSURLAND_LOAN";"AsCourtage";"Formule Optimum";"6268";"350";"2017-11-19";"2017-11-19";"";"";"22422";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_102";"ASSURLAND_LOAN";"HODEVA";"Formule Optimum";"7180";"100";"2017-11-19";"2017-11-19";"";"";"22423";"OK";"2017";"11";"46";"RECURRENT"
